label,trades,win_rate,pf_r,pnl_pct,profit_r,points,pnl_usd,gross_win_usd,gross_loss_usd,avg_win_pts,avg_loss_pts,payoff
"tp=1 sl=1.10 min_add=-25 max=1 cutoff=0m",149,69.13,1.02,0.80,1.14,-8.90,-89.00,7112.50,7201.56,6.9053,15.6556,0.4411
"tp=1.10 sl=1 min_add=0 max=1.10 cutoff=0m",167,64.67,1.02,0.63,1.10,36.60,366.00,9045.44,8679.38,8.3754,14.7108,0.5693
"tp=1.10 sl=1 min_add=25 max=1.10 cutoff=0m",167,64.67,1.02,0.63,1.10,36.60,366.00,9045.44,8679.38,8.3754,14.7108,0.5693
"tp=1 sl=1.10 min_add=0 max=1.10 cutoff=0m",152,69.08,1.02,0.70,1.05,-10.84,-108.40,7216.88,7325.31,6.8732,15.5858,0.4410
"tp=1 sl=1.10 min_add=25 max=1.10 cutoff=0m",152,69.08,1.02,0.70,1.05,-10.84,-108.40,7216.88,7325.31,6.8732,15.5858,0.4410
"tp=1 sl=1.10 min_add=-25 max=0.90 cutoff=0m",133,69.17,1.03,0.75,1.05,-18.64,-186.40,6133.75,6320.19,6.6671,15.4151,0.4325
"tp=1.10 sl=1 min_add=0 max=0.90 cutoff=0m",144,64.58,1.01,0.34,0.74,19.63,196.30,7508.19,7311.88,8.0733,14.3370,0.5631
"tp=1.10 sl=1 min_add=25 max=0.90 cutoff=0m",144,64.58,1.01,0.34,0.74,19.63,196.30,7508.19,7311.88,8.0733,14.3370,0.5631
"tp=1 sl=1.10 min_add=-25 max=0.90 cutoff=30m",141,68.79,1.01,0.09,0.42,-26.16,-261.60,6487.50,6749.19,6.6881,15.3391,0.4360
"tp=1 sl=1.10 min_add=0 max=0.90 cutoff=-30m",115,68.70,1.01,0.09,0.36,-29.09,-290.90,5363.75,5654.69,6.7896,15.7075,0.4323
"tp=1 sl=1.10 min_add=25 max=0.90 cutoff=-30m",115,68.70,1.01,0.09,0.36,-29.09,-290.90,5363.75,5654.69,6.7896,15.7075,0.4323
"tp=1.10 sl=1 min_add=0 max=0.90 cutoff=30m",154,64.29,1.00,-0.27,0.15,21.03,210.30,8027.25,7816.88,8.1083,14.2125,0.5705
"tp=1.10 sl=1 min_add=25 max=0.90 cutoff=30m",154,64.29,1.00,-0.27,0.15,21.03,210.30,8027.25,7816.88,8.1083,14.2125,0.5705
"tp=1.10 sl=1 min_add=-25 max=1.10 cutoff=0m",168,64.29,1.00,-0.36,0.10,14.10,141.00,9045.44,8904.38,8.3754,14.8406,0.5644
"tp=1 sl=1.10 min_add=0 max=1 cutoff=-30m",130,68.46,1.00,-0.21,0.09,-27.23,-272.30,6263.75,6536.06,7.0379,15.9416,0.4415
"tp=1 sl=1.10 min_add=25 max=1 cutoff=-30m",130,68.46,1.00,-0.21,0.09,-27.23,-272.30,6263.75,6536.06,7.0379,15.9416,0.4415
"tp=1 sl=1.10 min_add=-25 max=1.10 cutoff=0m",153,68.63,1.00,-0.29,0.05,-35.59,-355.90,7216.88,7572.81,6.8732,15.7767,0.4357
"tp=1.10 sl=1 min_add=0 max=1 cutoff=30m",173,64.16,1.00,-0.62,-0.13,46.75,467.50,9315.62,8848.12,8.3925,14.2712,0.5881
"tp=1.10 sl=1 min_add=25 max=1 cutoff=30m",173,64.16,1.00,-0.62,-0.13,46.75,467.50,9315.62,8848.12,8.3925,14.2712,0.5881
"tp=1.10 sl=1 min_add=-25 max=0.90 cutoff=0m",145,64.14,1.00,-0.66,-0.25,-2.86,-28.60,7508.19,7536.88,8.0733,14.4940,0.5570
"tp=0.90 sl=1.10 min_add=0 max=0.90 cutoff=0m",132,70.45,0.99,-0.74,-0.46,-15.74,-157.40,5680.12,5837.56,6.1077,14.9681,0.4080
"tp=0.90 sl=1.10 min_add=25 max=0.90 cutoff=0m",132,70.45,0.99,-0.74,-0.46,-15.74,-157.40,5680.12,5837.56,6.1077,14.9681,0.4080
"tp=1 sl=1.10 min_add=0 max=1 cutoff=30m",158,68.35,0.99,-0.85,-0.48,-16.98,-169.80,7466.25,7636.06,6.9132,15.2721,0.4527
"tp=1 sl=1.10 min_add=25 max=1 cutoff=30m",158,68.35,0.99,-0.85,-0.48,-16.98,-169.80,7466.25,7636.06,6.9132,15.2721,0.4527
"tp=1 sl=1.10 min_add=-25 max=0.90 cutoff=-30m",116,68.10,0.98,-0.90,-0.63,-53.84,-538.40,5363.75,5902.19,6.7896,15.9519,0.4256
"tp=1.10 sl=1 min_add=-25 max=0.90 cutoff=30m",155,63.87,0.98,-1.27,-0.84,-1.46,-14.60,8027.25,8041.88,8.1083,14.3605,0.5646
"tp=1.10 sl=1 min_add=0 max=1 cutoff=-30m",143,63.64,0.98,-1.24,-0.85,13.53,135.30,7868.44,7733.12,8.6466,14.8714,0.5814
"tp=1.10 sl=1 min_add=25 max=1 cutoff=-30m",143,63.64,0.98,-1.24,-0.85,13.53,135.30,7868.44,7733.12,8.6466,14.8714,0.5814
"tp=0.90 sl=1.10 min_add=0 max=1 cutoff=0m",148,70.27,0.98,-1.19,-0.88,-15.79,-157.90,6561.00,6718.94,6.3087,15.2703,0.4131
"tp=0.90 sl=1.10 min_add=25 max=1 cutoff=0m",148,70.27,0.98,-1.19,-0.88,-15.79,-157.90,6561.00,6718.94,6.3087,15.2703,0.4131
"tp=1 sl=1.10 min_add=-25 max=1 cutoff=-30m",131,67.94,0.98,-1.21,-0.90,-51.98,-519.80,6263.75,6783.56,7.0379,16.1513,0.4357
"tp=1 sl=1.10 min_add=0 max=1.10 cutoff=-30m",134,67.91,0.98,-1.30,-1.00,-53.91,-539.10,6368.12,6907.31,6.9979,16.0635,0.4356
"tp=1 sl=1.10 min_add=25 max=1.10 cutoff=-30m",134,67.91,0.98,-1.30,-1.00,-53.91,-539.10,6368.12,6907.31,6.9979,16.0635,0.4356
"tp=1.10 sl=1 min_add=-25 max=1 cutoff=30m",174,63.79,0.98,-1.61,-1.13,24.25,242.50,9315.62,9073.12,8.3925,14.4018,0.5827
"tp=0.90 sl=1.10 min_add=0 max=0.90 cutoff=30m",140,70.00,0.97,-1.62,-1.33,-26.80,-268.00,5998.50,6266.56,6.1209,14.9204,0.4102
"tp=0.90 sl=1.10 min_add=25 max=0.90 cutoff=30m",140,70.00,0.97,-1.62,-1.33,-26.80,-268.00,5998.50,6266.56,6.1209,14.9204,0.4102
"tp=0.90 sl=1.10 min_add=-25 max=0.90 cutoff=0m",133,69.92,0.96,-1.73,-1.46,-40.49,-404.90,5680.12,6085.06,6.1077,15.2127,0.4015
"tp=1.10 sl=1 min_add=0 max=1.10 cutoff=30m",179,63.69,0.98,-1.97,-1.48,15.01,150.10,9564.50,9414.38,8.3899,14.4837,0.5793
"tp=1.10 sl=1 min_add=25 max=1.10 cutoff=30m",179,63.69,0.98,-1.97,-1.48,15.01,150.10,9564.50,9414.38,8.3899,14.4837,0.5793
"tp=1 sl=1.10 min_add=-25 max=1 cutoff=30m",159,67.92,0.97,-1.84,-1.48,-41.73,-417.30,7466.25,7883.56,6.9132,15.4580,0.4472
"tp=1 sl=1.10 min_add=0 max=1.10 cutoff=30m",162,67.90,0.97,-1.94,-1.57,-43.66,-436.60,7570.62,8007.31,6.8824,15.3987,0.4469
"tp=1 sl=1.10 min_add=25 max=1.10 cutoff=30m",162,67.90,0.97,-1.94,-1.57,-43.66,-436.60,7570.62,8007.31,6.8824,15.3987,0.4469
"tp=1.10 sl=1 min_add=-25 max=1 cutoff=-30m",144,63.19,0.97,-2.23,-1.85,-8.96,-89.60,7868.44,7958.12,8.6466,15.0153,0.5759
"tp=0.90 sl=1.10 min_add=0 max=0.90 cutoff=-30m",115,69.57,0.95,-2.09,-1.86,-49.60,-496.00,4923.56,5419.56,6.1545,15.4845,0.3975
"tp=0.90 sl=1.10 min_add=25 max=0.90 cutoff=-30m",115,69.57,0.95,-2.09,-1.86,-49.60,-496.00,4923.56,5419.56,6.1545,15.4845,0.3975
"tp=0.90 sl=1.10 min_add=-25 max=1 cutoff=0m",149,69.80,0.96,-2.18,-1.88,-40.54,-405.40,6561.00,6966.44,6.3087,15.4810,0.4075
"tp=1 sl=1.10 min_add=-25 max=1.10 cutoff=-30m",135,67.41,0.95,-2.29,-2.00,-78.66,-786.60,6368.12,7154.81,6.9979,16.2609,0.4304
"tp=0.90 sl=1.10 min_add=0 max=1.10 cutoff=0m",152,69.74,0.96,-2.36,-2.06,-43.52,-435.20,6654.94,7090.19,6.2782,15.4135,0.4073
"tp=0.90 sl=1.10 min_add=25 max=1.10 cutoff=0m",152,69.74,0.96,-2.36,-2.06,-43.52,-435.20,6654.94,7090.19,6.2782,15.4135,0.4073
"tp=1.10 sl=1 min_add=0 max=0.90 cutoff=-30m",127,62.99,0.95,-2.45,-2.12,-26.51,-265.10,6666.69,6931.88,8.3334,14.7487,0.5650
"tp=1.10 sl=1 min_add=25 max=0.90 cutoff=-30m",127,62.99,0.95,-2.45,-2.12,-26.51,-265.10,6666.69,6931.88,8.3334,14.7487,0.5650
"tp=1.10 sl=1 min_add=0 max=1.10 cutoff=-30m",149,63.09,0.96,-2.59,-2.20,-18.20,-182.00,8117.31,8299.38,8.6354,15.0898,0.5723
"tp=1.10 sl=1 min_add=25 max=1.10 cutoff=-30m",149,63.09,0.96,-2.59,-2.20,-18.20,-182.00,8117.31,8299.38,8.6354,15.0898,0.5723
"tp=0.90 sl=1.10 min_add=-25 max=0.90 cutoff=30m",141,69.50,0.95,-2.61,-2.33,-51.55,-515.50,5998.50,6514.06,6.1209,15.1490,0.4040
"tp=1.10 sl=1 min_add=-25 max=1.10 cutoff=30m",180,63.33,0.96,-2.95,-2.48,-7.48,-74.80,9564.50,9639.38,8.3899,14.6051,0.5745
"tp=1 sl=1.10 min_add=-25 max=1.10 cutoff=30m",163,67.48,0.95,-2.92,-2.57,-68.41,-684.10,7570.62,8254.81,6.8824,15.5751,0.4419
"tp=0.90 sl=1.10 min_add=0 max=1 cutoff=-30m",130,69.23,0.94,-2.85,-2.60,-56.73,-567.30,5733.56,6300.94,6.3706,15.7523,0.4044
"tp=0.90 sl=1.10 min_add=25 max=1 cutoff=-30m",130,69.23,0.94,-2.85,-2.60,-56.73,-567.30,5733.56,6300.94,6.3706,15.7523,0.4044
"edgeful_table_exact",161,65.22,0.95,-3.20,-2.83,-11.12,-111.20,8001.88,8113.12,7.6208,14.4877,0.5260
"tp=1 sl=1 min_add=0 max=1 cutoff=0m",161,65.22,0.95,-3.20,-2.83,-11.12,-111.20,8001.88,8113.12,7.6208,14.4877,0.5260
"tp=1 sl=1 min_add=25 max=1 cutoff=0m",161,65.22,0.95,-3.20,-2.83,-11.12,-111.20,8001.88,8113.12,7.6208,14.4877,0.5260
"tp=0.90 sl=1.10 min_add=-25 max=0.90 cutoff=-30m",116,68.97,0.92,-3.07,-2.86,-74.35,-743.50,4923.56,5667.06,6.1545,15.7418,0.3910
"tp=0.90 sl=1.10 min_add=-25 max=1.10 cutoff=0m",153,69.28,0.93,-3.34,-3.06,-68.27,-682.70,6654.94,7337.69,6.2782,15.6121,0.4021
"tp=1.10 sl=1 min_add=-25 max=0.90 cutoff=-30m",128,62.50,0.94,-3.42,-3.12,-49.01,-490.10,6666.69,7156.88,8.3334,14.9102,0.5589
"tp=1.10 sl=1 min_add=-25 max=1.10 cutoff=-30m",150,62.67,0.94,-3.56,-3.20,-40.70,-407.00,8117.31,8524.38,8.6354,15.2221,0.5673
"tp=1 sl=1 min_add=0 max=0.90 cutoff=30m",154,64.94,0.94,-3.57,-3.23,-26.25,-262.50,7439.38,7701.88,7.4394,14.2627,0.5216
"tp=1 sl=1 min_add=25 max=0.90 cutoff=30m",154,64.94,0.94,-3.57,-3.23,-26.25,-262.50,7439.38,7701.88,7.4394,14.2627,0.5216
"tp=0.90 sl=1.10 min_add=-25 max=1 cutoff=-30m",131,68.70,0.91,-3.82,-3.60,-81.48,-814.80,5733.56,6548.44,6.3706,15.9718,0.3989
"tp=0.90 sl=1.10 min_add=0 max=1 cutoff=30m",158,68.99,0.92,-4.02,-3.75,-52.15,-521.50,6879.38,7400.94,6.3114,15.1040,0.4179
"tp=0.90 sl=1.10 min_add=25 max=1 cutoff=30m",158,68.99,0.92,-4.02,-3.75,-52.15,-521.50,6879.38,7400.94,6.3114,15.1040,0.4179
"tp=0.90 sl=1.10 min_add=0 max=1.10 cutoff=-30m",134,68.66,0.91,-4.00,-3.79,-84.46,-844.60,5827.50,6672.19,6.3342,15.8862,0.3987
"tp=0.90 sl=1.10 min_add=25 max=1.10 cutoff=-30m",134,68.66,0.91,-4.00,-3.79,-84.46,-844.60,5827.50,6672.19,6.3342,15.8862,0.3987
"tp=1 sl=1 min_add=-25 max=1 cutoff=0m",162,64.81,0.93,-4.16,-3.83,-33.62,-336.20,8001.88,8338.12,7.6208,14.6283,0.5210
"tp=1 sl=1 min_add=0 max=0.90 cutoff=0m",144,64.58,0.92,-4.22,-3.93,-48.12,-481.20,6830.62,7311.88,7.3448,14.3370,0.5123
"tp=1 sl=1 min_add=25 max=0.90 cutoff=0m",144,64.58,0.92,-4.22,-3.93,-48.12,-481.20,6830.62,7311.88,7.3448,14.3370,0.5123
"tp=1 sl=1 min_add=0 max=1 cutoff=30m",173,64.74,0.93,-4.48,-4.13,-12.25,-122.50,8610.62,8733.12,7.6881,14.3166,0.5370
"tp=1 sl=1 min_add=25 max=1 cutoff=30m",173,64.74,0.93,-4.48,-4.13,-12.25,-122.50,8610.62,8733.12,7.6881,14.3166,0.5370
"tp=1 sl=1 min_add=-25 max=0.90 cutoff=30m",155,64.52,0.92,-4.53,-4.23,-48.75,-487.50,7439.38,7926.88,7.4394,14.4125,0.5162
"tp=1 sl=1 min_add=0 max=1.10 cutoff=0m",167,64.67,0.93,-4.66,-4.33,-45.12,-451.20,8228.12,8679.38,7.6186,14.7108,0.5179
"tp=1 sl=1 min_add=25 max=1.10 cutoff=0m",167,64.67,0.93,-4.66,-4.33,-45.12,-451.20,8228.12,8679.38,7.6186,14.7108,0.5179
"tp=1.10 sl=0.90 min_add=0 max=1 cutoff=0m",181,60.22,0.94,-5.05,-4.60,-47.40,-474.00,9843.38,10317.38,9.0306,14.3297,0.6302
"tp=1.10 sl=0.90 min_add=25 max=1 cutoff=0m",181,60.22,0.94,-5.05,-4.60,-47.40,-474.00,9843.38,10317.38,9.0306,14.3297,0.6302
"tp=0.90 sl=1.10 min_add=-25 max=1 cutoff=30m",159,68.55,0.90,-4.98,-4.75,-76.90,-769.00,6879.38,7648.44,6.3114,15.2969,0.4126
"tp=0.90 sl=1.10 min_add=-25 max=1.10 cutoff=-30m",135,68.15,0.89,-4.96,-4.79,-109.21,-1092.10,5827.50,6919.69,6.3342,16.0923,0.3936
"tp=0.90 sl=1.10 min_add=0 max=1.10 cutoff=30m",162,68.52,0.90,-5.16,-4.93,-79.88,-798.80,6973.31,7772.19,6.2823,15.2396,0.4122
"tp=0.90 sl=1.10 min_add=25 max=1.10 cutoff=30m",162,68.52,0.90,-5.16,-4.93,-79.88,-798.80,6973.31,7772.19,6.2823,15.2396,0.4122
"tp=1 sl=1 min_add=-25 max=0.90 cutoff=0m",145,64.14,0.91,-5.17,-4.93,-70.62,-706.20,6830.62,7536.88,7.3448,14.4940,0.5067
"tp=1 sl=1 min_add=-25 max=1 cutoff=30m",174,64.37,0.92,-5.44,-5.13,-34.75,-347.50,8610.62,8958.12,7.6881,14.4486,0.5321
