label,trades,win_rate,pf_r,pnl_pct,profit_r,points,pnl_usd,gross_win_usd,gross_loss_usd,avg_win_pts,avg_loss_pts,payoff
"tp=0.90 sl=1 min_add=0 max=1 cutoff=-30m",144,64.58,0.84,-8.16,-8.16,-88.75,-887.50,6631.88,7519.38,7.1310,14.7439,0.4837
"tp=0.90 sl=1 min_add=25 max=1 cutoff=-30m",144,64.58,0.84,-8.16,-8.16,-88.75,-887.50,6631.88,7519.38,7.1310,14.7439,0.4837
"tp=0.90 sl=1 min_add=0 max=0.90 cutoff=-30m",128,64.06,0.82,-8.24,-8.29,-106.95,-1069.50,5648.62,6718.12,6.8886,14.6046,0.4717
"tp=0.90 sl=1 min_add=25 max=0.90 cutoff=-30m",128,64.06,0.82,-8.24,-8.29,-106.95,-1069.50,5648.62,6718.12,6.8886,14.6046,0.4717
"tp=0.90 sl=1 min_add=-25 max=1.10 cutoff=0m",169,65.09,0.86,-8.53,-8.51,-102.76,-1027.60,7662.94,8690.62,6.9663,14.7299,0.4729
"tp=0.90 sl=1 min_add=-25 max=1 cutoff=30m",175,65.14,0.86,-8.56,-8.53,-73.71,-737.10,8007.19,8744.38,7.0238,14.3350,0.4900
"tp=1.10 sl=0.90 min_add=-25 max=0.90 cutoff=0m",163,58.28,0.87,-9.01,-8.91,-145.52,-1455.20,8343.50,9798.75,8.7826,14.4099,0.6095
"tp=0.90 sl=1 min_add=-25 max=1 cutoff=-30m",145,64.14,0.82,-9.08,-9.16,-111.25,-1112.50,6631.88,7744.38,7.1310,14.8930,0.4788
"tp=0.90 sl=1 min_add=0 max=1.10 cutoff=30m",180,65.00,0.85,-9.17,-9.18,-87.48,-874.80,8210.81,9085.62,7.0178,14.4216,0.4866
"tp=0.90 sl=1 min_add=25 max=1.10 cutoff=30m",180,65.00,0.85,-9.17,-9.18,-87.48,-874.80,8210.81,9085.62,7.0178,14.4216,0.4866
"tp=0.90 sl=1 min_add=-25 max=0.90 cutoff=-30m",129,63.57,0.80,-9.16,-9.29,-129.45,-1294.50,5648.62,6943.12,6.8886,14.7726,0.4663
"tp=1.10 sl=0.90 min_add=0 max=1 cutoff=-30m",161,57.76,0.86,-9.61,-9.57,-126.54,-1265.40,8709.94,9975.38,9.3655,14.6697,0.6384
"tp=1.10 sl=0.90 min_add=25 max=1 cutoff=-30m",161,57.76,0.86,-9.61,-9.57,-126.54,-1265.40,8709.94,9975.38,9.3655,14.6697,0.6384
"tp=0.90 sl=1 min_add=0 max=1.10 cutoff=-30m",150,64.00,0.82,-9.68,-9.81,-125.01,-1250.10,6835.50,8085.62,7.1203,14.9734,0.4755
"tp=0.90 sl=1 min_add=25 max=1.10 cutoff=-30m",150,64.00,0.82,-9.68,-9.81,-125.01,-1250.10,6835.50,8085.62,7.1203,14.9734,0.4755
"tp=0.90 sl=1 min_add=-25 max=1.10 cutoff=30m",181,64.64,0.84,-10.08,-10.18,-109.98,-1099.80,8210.81,9310.62,7.0178,14.5479,0.4824
"tp=1.10 sl=0.90 min_add=-25 max=1 cutoff=-30m",162,57.41,0.85,-10.51,-10.57,-146.79,-1467.90,8709.94,10177.88,9.3655,14.7505,0.6349
"tp=1 sl=0.90 min_add=0 max=1 cutoff=0m",181,60.22,0.85,-10.63,-10.69,-136.11,-1361.10,8956.25,10317.38,8.2167,14.3297,0.5734
"tp=1 sl=0.90 min_add=25 max=1 cutoff=0m",181,60.22,0.85,-10.63,-10.69,-136.11,-1361.10,8956.25,10317.38,8.2167,14.3297,0.5734
"tp=1.10 sl=0.90 min_add=0 max=1.10 cutoff=-30m",167,57.49,0.85,-10.67,-10.74,-152.61,-1526.10,8958.81,10485.00,9.3321,14.7676,0.6319
"tp=1.10 sl=0.90 min_add=25 max=1.10 cutoff=-30m",167,57.49,0.85,-10.67,-10.74,-152.61,-1526.10,8958.81,10485.00,9.3321,14.7676,0.6319
"tp=0.90 sl=1 min_add=-25 max=1.10 cutoff=-30m",151,63.58,0.80,-10.58,-10.81,-147.51,-1475.10,6835.50,8310.62,7.1203,15.1102,0.4712
"tp=1.10 sl=0.90 min_add=0 max=1 cutoff=30m",196,58.16,0.86,-11.47,-11.55,-139.55,-1395.50,10329.44,11725.00,9.0609,14.2988,0.6337
"tp=1.10 sl=0.90 min_add=25 max=1 cutoff=30m",196,58.16,0.86,-11.47,-11.55,-139.55,-1395.50,10329.44,11725.00,9.0609,14.2988,0.6337
"tp=1 sl=0.90 min_add=-25 max=1 cutoff=0m",182,59.89,0.84,-11.52,-11.69,-156.36,-1563.60,8956.25,10519.88,8.2167,14.4108,0.5702
"tp=1.10 sl=0.90 min_add=-25 max=1.10 cutoff=-30m",168,57.14,0.84,-11.57,-11.74,-172.86,-1728.60,8958.81,10687.50,9.3321,14.8438,0.6287
"tp=1 sl=0.90 min_add=0 max=1.10 cutoff=0m",187,59.89,0.84,-11.83,-12.02,-164.45,-1644.50,9182.50,10827.00,8.1987,14.4360,0.5679
"tp=1 sl=0.90 min_add=25 max=1.10 cutoff=0m",187,59.89,0.84,-11.83,-12.02,-164.45,-1644.50,9182.50,10827.00,8.1987,14.4360,0.5679
"tp=1.10 sl=0.90 min_add=0 max=0.90 cutoff=-30m",144,56.25,0.81,-11.97,-12.27,-192.75,-1927.50,7326.69,9254.25,9.0453,14.6893,0.6158
"tp=1.10 sl=0.90 min_add=25 max=0.90 cutoff=-30m",144,56.25,0.81,-11.97,-12.27,-192.75,-1927.50,7326.69,9254.25,9.0453,14.6893,0.6158
"tp=1.10 sl=0.90 min_add=-25 max=1 cutoff=30m",197,57.87,0.85,-12.35,-12.55,-159.80,-1598.00,10329.44,11927.50,9.0609,14.3705,0.6305
"tp=1.10 sl=0.90 min_add=0 max=1.10 cutoff=30m",202,57.92,0.85,-12.51,-12.71,-165.63,-1656.30,10578.31,12234.62,9.0413,14.3937,0.6281
"tp=1.10 sl=0.90 min_add=25 max=1.10 cutoff=30m",202,57.92,0.85,-12.51,-12.71,-165.63,-1656.30,10578.31,12234.62,9.0413,14.3937,0.6281
"tp=1.10 sl=0.90 min_add=0 max=0.90 cutoff=30m",175,57.14,0.83,-12.57,-12.86,-196.73,-1967.30,8829.56,10796.88,8.8296,14.3958,0.6133
"tp=1.10 sl=0.90 min_add=25 max=0.90 cutoff=30m",175,57.14,0.83,-12.57,-12.86,-196.73,-1967.30,8829.56,10796.88,8.8296,14.3958,0.6133
"tp=1 sl=0.90 min_add=-25 max=1.10 cutoff=0m",188,59.57,0.83,-12.71,-13.02,-184.70,-1847.00,9182.50,11029.50,8.1987,14.5125,0.5649
"tp=1 sl=0.90 min_add=0 max=0.90 cutoff=0m",162,58.64,0.80,-12.85,-13.26,-200.62,-2006.20,7590.00,9596.25,7.9895,14.3228,0.5578
"tp=1 sl=0.90 min_add=25 max=0.90 cutoff=0m",162,58.64,0.80,-12.85,-13.26,-200.62,-2006.20,7590.00,9596.25,7.9895,14.3228,0.5578
"tp=1.10 sl=0.90 min_add=-25 max=0.90 cutoff=-30m",145,55.86,0.79,-12.85,-13.27,-213.00,-2130.00,7326.69,9456.75,9.0453,14.7762,0.6122
"tp=1.10 sl=0.90 min_add=-25 max=1.10 cutoff=30m",203,57.64,0.84,-13.39,-13.71,-185.88,-1858.80,10578.31,12437.12,9.0413,14.4618,0.6252
"tp=1.10 sl=0.90 min_add=-25 max=0.90 cutoff=30m",176,56.82,0.82,-13.44,-13.86,-216.98,-2169.80,8829.56,10999.38,8.8296,14.4729,0.6101
"tp=1 sl=0.90 min_add=-25 max=0.90 cutoff=0m",163,58.28,0.79,-13.72,-14.26,-220.87,-2208.70,7590.00,9798.75,7.9895,14.4099,0.5544
"tp=0.90 sl=0.90 min_add=0 max=1 cutoff=0m",182,60.99,0.80,-13.82,-14.37,-180.37,-1803.70,8321.25,10125.00,7.4966,14.2606,0.5257
"tp=0.90 sl=0.90 min_add=25 max=1 cutoff=0m",182,60.99,0.80,-13.82,-14.37,-180.37,-1803.70,8321.25,10125.00,7.4966,14.2606,0.5257
"tp=1 sl=0.90 min_add=0 max=1 cutoff=-30m",161,57.76,0.78,-14.26,-14.88,-205.72,-2057.20,7918.12,9975.38,8.5141,14.6697,0.5804
"tp=1 sl=0.90 min_add=25 max=1 cutoff=-30m",161,57.76,0.78,-14.26,-14.88,-205.72,-2057.20,7918.12,9975.38,8.5141,14.6697,0.5804
"tp=0.90 sl=0.90 min_add=-25 max=1 cutoff=0m",183,60.66,0.79,-14.68,-15.37,-200.62,-2006.20,8321.25,10327.50,7.4966,14.3438,0.5226
"tp=0.90 sl=0.90 min_add=0 max=1.10 cutoff=0m",188,60.64,0.79,-15.12,-15.87,-210.97,-2109.70,8524.88,10634.62,7.4780,14.3711,0.5203
"tp=0.90 sl=0.90 min_add=25 max=1.10 cutoff=0m",188,60.64,0.79,-15.12,-15.87,-210.97,-2109.70,8524.88,10634.62,7.4780,14.3711,0.5203
"tp=1 sl=0.90 min_add=-25 max=1 cutoff=-30m",162,57.41,0.77,-15.12,-15.88,-225.97,-2259.70,7918.12,10177.88,8.5141,14.7505,0.5772
"tp=0.90 sl=0.90 min_add=0 max=0.90 cutoff=0m",163,59.51,0.75,-15.34,-16.20,-231.52,-2315.20,7088.62,9403.88,7.3079,14.2483,0.5129
"tp=0.90 sl=0.90 min_add=25 max=0.90 cutoff=0m",163,59.51,0.75,-15.34,-16.20,-231.52,-2315.20,7088.62,9403.88,7.3079,14.2483,0.5129
"tp=1 sl=0.90 min_add=0 max=1.10 cutoff=-30m",167,57.49,0.77,-15.41,-16.22,-234.06,-2340.60,8144.38,10485.00,8.4837,14.7676,0.5745
"tp=1 sl=0.90 min_add=25 max=1.10 cutoff=-30m",167,57.49,0.77,-15.41,-16.22,-234.06,-2340.60,8144.38,10485.00,8.4837,14.7676,0.5745
"tp=1 sl=0.90 min_add=0 max=1 cutoff=30m",196,58.67,0.80,-15.50,-16.25,-207.50,-2075.00,9535.00,11610.00,8.2913,14.3333,0.5785
"tp=1 sl=0.90 min_add=25 max=1 cutoff=30m",196,58.67,0.80,-15.50,-16.25,-207.50,-2075.00,9535.00,11610.00,8.2913,14.3333,0.5785
"tp=1 sl=0.90 min_add=0 max=0.90 cutoff=30m",175,57.71,0.77,-15.93,-16.81,-251.31,-2513.10,8168.75,10681.88,8.0879,14.4350,0.5603
"tp=1 sl=0.90 min_add=25 max=0.90 cutoff=30m",175,57.71,0.77,-15.93,-16.81,-251.31,-2513.10,8168.75,10681.88,8.0879,14.4350,0.5603
"tp=0.90 sl=0.90 min_add=-25 max=1.10 cutoff=0m",189,60.32,0.78,-15.97,-16.87,-231.22,-2312.20,8524.88,10837.12,7.4780,14.4495,0.5175
"tp=1 sl=0.90 min_add=0 max=0.90 cutoff=-30m",144,56.25,0.73,-15.92,-16.88,-259.36,-2593.60,6660.62,9254.25,8.2230,14.6893,0.5598
"tp=1 sl=0.90 min_add=25 max=0.90 cutoff=-30m",144,56.25,0.73,-15.92,-16.88,-259.36,-2593.60,6660.62,9254.25,8.2230,14.6893,0.5598
"tp=0.90 sl=0.90 min_add=-25 max=0.90 cutoff=0m",164,59.15,0.74,-16.19,-17.20,-251.77,-2517.70,7088.62,9606.38,7.3079,14.3379,0.5097
"tp=1 sl=0.90 min_add=-25 max=1.10 cutoff=-30m",168,57.14,0.76,-16.26,-17.22,-254.31,-2543.10,8144.38,10687.50,8.4837,14.8438,0.5715
"tp=1 sl=0.90 min_add=-25 max=1 cutoff=30m",197,58.38,0.79,-16.35,-17.25,-227.75,-2277.50,9535.00,11812.50,8.2913,14.4055,0.5756
"tp=1 sl=0.90 min_add=0 max=1.10 cutoff=30m",202,58.42,0.79,-16.64,-17.58,-235.83,-2358.30,9761.25,12119.62,8.2722,14.4281,0.5733
"tp=1 sl=0.90 min_add=25 max=1.10 cutoff=30m",202,58.42,0.79,-16.64,-17.58,-235.83,-2358.30,9761.25,12119.62,8.2722,14.4281,0.5733
"tp=1 sl=0.90 min_add=-25 max=0.90 cutoff=30m",176,57.39,0.76,-16.77,-17.81,-271.56,-2715.60,8168.75,10884.38,8.0879,14.5125,0.5573
"tp=1 sl=0.90 min_add=-25 max=0.90 cutoff=-30m",145,55.86,0.72,-16.76,-17.88,-279.61,-2796.10,6660.62,9456.75,8.2230,14.7762,0.5565
"tp=0.90 sl=0.90 min_add=0 max=1 cutoff=-30m",162,58.64,0.73,-16.94,-18.10,-246.26,-2462.60,7320.38,9783.00,7.7057,14.6015,0.5277
"tp=0.90 sl=0.90 min_add=25 max=1 cutoff=-30m",162,58.64,0.73,-16.94,-18.10,-246.26,-2462.60,7320.38,9783.00,7.7057,14.6015,0.5277
"tp=1 sl=0.90 min_add=-25 max=1.10 cutoff=30m",203,58.13,0.78,-17.47,-18.58,-256.08,-2560.80,9761.25,12322.12,8.2722,14.4966,0.5706
"tp=0.90 sl=0.90 min_add=-25 max=1 cutoff=-30m",163,58.28,0.72,-17.77,-19.10,-266.51,-2665.10,7320.38,9985.50,7.7057,14.6846,0.5247
"tp=0.90 sl=0.90 min_add=0 max=0.90 cutoff=-30m",145,57.24,0.69,-17.98,-19.40,-287.32,-2873.20,6188.62,9061.88,7.4562,14.6159,0.5101
"tp=0.90 sl=0.90 min_add=25 max=0.90 cutoff=-30m",145,57.24,0.69,-17.98,-19.40,-287.32,-2873.20,6188.62,9061.88,7.4562,14.6159,0.5101
"tp=0.90 sl=0.90 min_add=0 max=1.10 cutoff=-30m",168,58.33,0.72,-18.19,-19.60,-276.86,-2768.60,7524.00,10292.62,7.6776,14.7038,0.5221
"tp=0.90 sl=0.90 min_add=25 max=1.10 cutoff=-30m",168,58.33,0.72,-18.19,-19.60,-276.86,-2768.60,7524.00,10292.62,7.6776,14.7038,0.5221
"tp=0.90 sl=0.90 min_add=0 max=0.90 cutoff=30m",176,58.52,0.72,-18.61,-20.10,-288.00,-2880.00,7609.50,10489.50,7.3879,14.3692,0.5141
"tp=0.90 sl=0.90 min_add=25 max=0.90 cutoff=30m",176,58.52,0.72,-18.61,-20.10,-288.00,-2880.00,7609.50,10489.50,7.3879,14.3692,0.5141
"tp=0.90 sl=0.90 min_add=0 max=1 cutoff=30m",197,59.39,0.75,-18.80,-20.27,-257.55,-2575.50,8842.12,11417.62,7.5574,14.2720,0.5295
"tp=0.90 sl=0.90 min_add=25 max=1 cutoff=30m",197,59.39,0.75,-18.80,-20.27,-257.55,-2575.50,8842.12,11417.62,7.5574,14.2720,0.5295
"tp=0.90 sl=0.90 min_add=-25 max=0.90 cutoff=-30m",146,56.85,0.68,-18.80,-20.40,-307.57,-3075.70,6188.62,9264.38,7.4562,14.7054,0.5070
"tp=0.90 sl=0.90 min_add=-25 max=1.10 cutoff=-30m",169,57.99,0.71,-19.01,-20.60,-297.11,-2971.10,7524.00,10495.12,7.6776,14.7819,0.5194
"tp=0.90 sl=0.90 min_add=-25 max=0.90 cutoff=30m",177,58.19,0.71,-19.43,-21.10,-308.25,-3082.50,7609.50,10692.00,7.3879,14.4486,0.5113
"tp=0.90 sl=0.90 min_add=-25 max=1 cutoff=30m",198,59.09,0.74,-19.61,-21.27,-277.80,-2778.00,8842.12,11620.12,7.5574,14.3458,0.5268
"tp=0.90 sl=0.90 min_add=0 max=1.10 cutoff=30m",203,59.11,0.74,-20.03,-21.77,-288.15,-2881.50,9045.75,11927.25,7.5381,14.3702,0.5246
"tp=0.90 sl=0.90 min_add=25 max=1.10 cutoff=30m",203,59.11,0.74,-20.03,-21.77,-288.15,-2881.50,9045.75,11927.25,7.5381,14.3702,0.5246
"tp=0.90 sl=0.90 min_add=-25 max=1.10 cutoff=30m",204,58.82,0.73,-20.83,-22.77,-308.40,-3084.00,9045.75,12129.75,7.5381,14.4402,0.5220
