rank,label,slippage,trades,win_rate_pct,profit_r,pf_r,points_per_week,net_usd_per_week,net_usd_1mic,max_dd_usd_1mic
906,lb0h pair_mid rr2.5 trail_prog slSome(30) ksme slip2 [entry 05-09 only  lb=0h],2,36,30.5556,3.24,1.154286,1.2898,1.8461,112.36,540.05
907,lb0h close tp30pts trail_none slSome(30) ksme slip2 [entry 05-09 only  lb=0h],2,23,43.4783,2.83,1.217692,1.2857,2.1028,127.98,267.62
908,lb0h close rr2.0 trail_prog slSome(25) kems slip1 [entry 05-09 only  lb=0h],1,41,39.0244,4.28,1.2140,1.2857,1.7360,105.66,268.60
909,lb0h close tp30pts trail_prog slSome(30) kems slip2 [entry 05-09 only  lb=0h],2,41,46.3415,2.93,1.1465,1.2835,1.7318,105.40,367.99
910,lb0h close tp30pts trail_none slSome(25) ksme slip2 [entry 05-09 only  lb=0h],2,21,42.8571,2.83,1.235833,1.2816,2.1353,129.96,222.18
911,lb1h pair_mid rr1.5 trail_be1r slSome(25) kems slip1 [entry 05-09 only  lb=1h],1,42,33.3333,-2.16,0.906087,1.2794,1.7032,103.66,715.52
912,lb1h pair_mid rr1.5 trail_prog slSome(25) kems slip1 [entry 05-09 only  lb=1h],1,42,33.3333,-2.16,0.906087,1.2794,1.7032,103.66,715.52
913,lb2h pair_mid rr1.5 trail_be1r slSome(25) kems slip1 [entry 05-09 only  lb=2h],1,42,33.3333,-2.16,0.906087,1.2794,1.7032,103.66,715.52
914,lb2h pair_mid rr1.5 trail_prog slSome(25) kems slip1 [entry 05-09 only  lb=2h],1,42,33.3333,-2.16,0.906087,1.2794,1.7032,103.66,715.52
915,lb2h close tp100pts trail_prog slSome(25) kems slip1 [entry 05-09 only  lb=2h],1,42,38.0952,3.55,1.161364,1.2712,1.6867,102.66,355.08
916,lb3h close tp100pts trail_prog slSome(25) kems slip1 [entry 05-09 only  lb=3h],1,42,38.0952,3.55,1.161364,1.2712,1.6867,102.66,355.08
917,lb1h close rr1.5 trail_none slSome(30) kems slip1 [entry 05-09 only  lb=1h],1,43,41.8605,1.78,1.0712,1.2671,1.6582,100.92,357.65
918,lb1h close tp100pts trail_prog slSome(25) kems slip1 [entry 05-09 only  lb=1h],1,43,37.2093,3.55,1.161364,1.2671,1.6582,100.92,355.08
919,lb1h pair_mid tp75pts trail_prog slSome(25) kems slip2 [entry 05-09 only  lb=1h],2,41,39.0244,2.32,1.105455,1.2630,1.6907,102.90,679.15
920,lb2h pair_mid tp75pts trail_prog slSome(25) kems slip2 [entry 05-09 only  lb=2h],2,41,39.0244,2.32,1.105455,1.2630,1.6907,102.90,679.15
921,lb0h close tp25pts trail_prog slSome(25) kems slip1 [entry 05-09 only  lb=0h],1,41,48.7805,3.03,1.1515,1.2528,1.6703,101.66,290.74
922,lb1h pair_mid rr2.0 trail_be1r slSome(25) kems slip2 [entry 05-09 only  lb=1h],2,41,29.2683,1.69,1.076818,1.2466,1.6578,100.90,708.90
923,lb2h pair_mid rr2.0 trail_be1r slSome(25) kems slip2 [entry 05-09 only  lb=2h],2,41,29.2683,1.69,1.076818,1.2466,1.6578,100.90,708.90
924,lb1h pair_mid tp100pts trail_be1r slSome(30) ksme slip3 [entry 05-09 only  lb=1h],3,38,18.4211,0.88,1.04,1.2446,1.7150,104.38,699.28
925,lb2h pair_mid tp100pts trail_be1r slSome(30) ksme slip3 [entry 05-09 only  lb=2h],3,38,18.4211,0.88,1.04,1.2446,1.7150,104.38,699.28
926,lb3h pair_mid tp100pts trail_be1r slSome(30) ksme slip3 [entry 05-09 only  lb=3h],3,38,18.4211,0.88,1.04,1.2446,1.7150,104.38,699.28
927,lb0h close tp50pts trail_be1r slSome(25) ksme slip1 [entry 05-09 only  lb=0h],1,21,23.8095,4.99,1.453636,1.2364,2.0449,124.46,272.14
928,lb0h close tp125pts trail_be1r slSome(25) ksme slip1 [entry 05-09 only  lb=0h],1,21,9.5238,8.53,1.775455,1.2364,2.0449,124.46,307.86
929,lb0h pair_mid tp75pts trail_be1r slSome(25) ksme slip1 [entry 05-09 only  lb=0h],1,35,22.8571,3.14,1.1570,1.2364,1.7597,107.10,463.85
930,lb0h pair_mid tp200pts trail_be1r slSome(25) ksme slip1 [entry 05-09 only  lb=0h],1,35,8.5714,-3.41,0.8295,1.2364,1.7597,107.10,793.54
931,lb0h pair_mid tp75pts trail_be1r slSome(25) kems slip2 [entry 05-09 only  lb=0h],2,39,25.6410,1.43,1.068095,1.2342,1.6739,101.88,639.69
932,lb2h close rr2.5 trail_prog slSome(25) kems slip1 [entry 05-09 only  lb=2h],1,42,38.0952,3.09,1.140455,1.2342,1.6128,98.16,335.62
933,lb3h close rr2.5 trail_prog slSome(25) kems slip1 [entry 05-09 only  lb=3h],1,42,38.0952,3.09,1.140455,1.2342,1.6128,98.16,335.62
934,lb1h close rr2.5 trail_prog slSome(25) kems slip1 [entry 05-09 only  lb=1h],1,43,37.2093,3.09,1.140455,1.2301,1.5842,96.42,335.62
935,lb0h close tp175pts trail_prog slSome(30) kems slip1 [entry 05-09 only  lb=0h],1,41,34.1463,3.59,1.1795,1.2241,1.6128,98.16,315.55
936,lb1h pair_mid tp75pts trail_prog slSome(25) kems slip3 [entry 05-09 only  lb=1h],3,41,39.0244,3.00,1.136364,1.2200,1.6046,97.66,686.65
937,lb2h pair_mid tp75pts trail_prog slSome(25) kems slip3 [entry 05-09 only  lb=2h],3,41,39.0244,3.00,1.136364,1.2200,1.6046,97.66,686.65
938,lb0h close tp30pts trail_prog slSome(25) kems slip3 [entry 05-09 only  lb=0h],3,41,43.9024,3.50,1.1750,1.2158,1.5964,97.16,387.24
939,lb0h close tp150pts trail_prog slSome(25) kems slip2 [entry 05-09 only  lb=0h],2,41,39.0244,3.80,1.19,1.2158,1.5964,97.16,319.35
940,lb2h close tp125pts trail_none slSome(30) kems slip3 [entry 05-09 only  lb=2h],3,41,17.0732,4.09,1.120294,1.2117,1.5882,96.66,541.90
941,lb3h close tp125pts trail_none slSome(30) kems slip3 [entry 05-09 only  lb=3h],3,41,17.0732,4.09,1.120294,1.2117,1.5882,96.66,541.90
942,lb0h close tp30pts trail_be1r slSome(30) kems slip2 [entry 05-09 only  lb=0h],2,41,43.9024,2.48,1.1240,1.2076,1.5799,96.16,377.24
943,lb2h close tp200pts trail_none slSome(25) ksme slip2 [entry 05-09 only  lb=2h],2,22,9.0909,-2.97,0.8515,1.1953,1.9424,118.22,492.60
944,lb3h close tp200pts trail_none slSome(25) ksme slip2 [entry 05-09 only  lb=3h],2,22,9.0909,-2.97,0.8515,1.1953,1.9424,118.22,492.60
945,lb0h close rr1.5 trail_be1r slSome(25) kems slip3 [entry 05-09 only  lb=0h],3,41,39.0244,3.38,1.1690,1.1932,1.5510,94.40,356.24
946,lb0h close rr1.5 trail_prog slSome(25) kems slip3 [entry 05-09 only  lb=0h],3,41,39.0244,3.38,1.1690,1.1932,1.5510,94.40,356.24
947,lb0h close tp75pts trail_prog slSome(30) kems slip1 [entry 05-09 only  lb=0h],1,41,34.1463,4.01,1.2005,1.1932,1.5510,94.40,281.40
948,lb1h pair_mid tp125pts trail_none slNone kems slip2 [entry 05-09 only  lb=1h],2,41,21.9512,-4.43,0.861562,1.1932,1.5510,94.40,927.90
949,lb2h close tp30pts trail_be1r slSome(25) kems slip1 [entry 05-09 only  lb=2h],1,42,40.4762,2.10,1.095455,1.1912,1.5267,92.92,411.22
950,lb2h close tp40pts trail_be1r slSome(25) kems slip1 [entry 05-09 only  lb=2h],1,42,30.9524,3.71,1.168636,1.1912,1.5267,92.92,387.82
951,lb3h close tp30pts trail_be1r slSome(25) kems slip1 [entry 05-09 only  lb=3h],1,42,40.4762,2.10,1.095455,1.1912,1.5267,92.92,411.22
952,lb3h close tp40pts trail_be1r slSome(25) kems slip1 [entry 05-09 only  lb=3h],1,42,30.9524,3.71,1.168636,1.1912,1.5267,92.92,387.82
953,lb2h close tp175pts trail_none slSome(30) kems slip1 [entry 05-09 only  lb=2h],1,41,12.1951,-6.03,0.8325,1.1871,1.5389,93.66,600.88
954,lb3h close tp175pts trail_none slSome(30) kems slip1 [entry 05-09 only  lb=3h],1,41,12.1951,-6.03,0.8325,1.1871,1.5389,93.66,600.88
955,lb1h close tp30pts trail_be1r slSome(25) kems slip1 [entry 05-09 only  lb=1h],1,43,39.5349,2.10,1.095455,1.1871,1.4981,91.18,411.22
956,lb1h close tp40pts trail_be1r slSome(25) kems slip1 [entry 05-09 only  lb=1h],1,43,30.2326,3.71,1.168636,1.1871,1.4981,91.18,387.82
957,lb0h pair_mid tp75pts trail_prog slSome(25) kems slip1 [entry 05-09 only  lb=0h],1,39,35.8974,1.70,1.080952,1.1850,1.5753,95.88,671.65
958,lb0h pair_mid rr2.5 trail_prog slNone kems slip3 [entry 05-09 only  lb=0h],3,39,28.2051,2.14,1.097273,1.1840,1.5734,95.76,774.28
959,lb1h prev_open tp150pts trail_prog slSome(25) ksme slip3 [entry 05-09 only  lb=1h],3,35,34.2857,16.34,1.742727,1.1830,1.6529,100.60,494.41
960,lb3h pair_mid tp75pts trail_be1r slSome(30) kems slip2 [entry 05-09 only  lb=3h],2,40,25.00,1.29,1.061429,1.1808,1.5468,94.14,595.45
961,lb3h pair_mid tp75pts trail_be1r slSome(25) kems slip3 [entry 05-09 only  lb=3h],3,40,25.00,1.13,1.053810,1.1767,1.5385,93.64,580.45
962,lb1h close rr2.0 trail_none slSome(30) kems slip2 [entry 05-09 only  lb=1h],2,43,34.8837,1.65,1.058929,1.1748,1.4735,89.68,391.46
963,lb0h close tp200pts trail_none slSome(25) ksme slip3 [entry 05-09 only  lb=0h],3,21,9.5238,-2.17,0.885789,1.1707,1.9135,116.46,445.12
964,lb0h prev_open tp200pts trail_prog slSome(25) ksme slip3 [entry 05-09 only  lb=0h],3,33,33.3333,11.68,1.556190,1.1685,1.6647,101.32,507.56
965,lb0h pair_mid rr2.5 trail_prog slSome(25) kems slip3 [entry 05-09 only  lb=0h],3,39,35.8974,2.66,1.126667,1.1685,1.5425,93.88,701.78
966,lb1h pair_mid tp75pts trail_be1r slSome(25) kems slip1 [entry 05-09 only  lb=1h],1,41,24.3902,0.73,1.033182,1.1685,1.5017,91.40,633.69
967,lb2h pair_mid tp75pts trail_be1r slSome(25) kems slip1 [entry 05-09 only  lb=2h],1,41,24.3902,0.73,1.033182,1.1685,1.5017,91.40,633.69
968,lb1h close tp100pts trail_none slSome(25) ksme slip3 [entry 05-09 only  lb=1h],3,23,17.3913,4.72,1.248421,1.1666,1.8645,113.48,485.86
969,lb1h close tp100pts trail_none slSome(25) kems slip3 [entry 05-09 only  lb=1h],3,42,19.0476,4.41,1.129706,1.1666,1.4774,89.92,481.90
970,lb2h close tp40pts trail_be1r slSome(30) kems slip1 [entry 05-09 only  lb=2h],1,42,33.3333,2.95,1.134091,1.1666,1.4774,89.92,399.08
971,lb3h close tp40pts trail_be1r slSome(30) kems slip1 [entry 05-09 only  lb=3h],1,42,33.3333,2.95,1.134091,1.1666,1.4774,89.92,399.08
972,lb0h prev_open tp175pts trail_prog slSome(25) ksme slip2 [entry 05-09 only  lb=0h],2,33,33.3333,12.12,1.577143,1.1644,1.6565,100.82,487.16
973,lb1h close tp40pts trail_be1r slSome(30) kems slip1 [entry 05-09 only  lb=1h],1,43,32.5581,2.95,1.134091,1.1624,1.4488,88.18,399.08
974,lb2h close tp175pts trail_prog slSome(25) kems slip2 [entry 05-09 only  lb=2h],2,42,38.0952,2.76,1.125455,1.1583,1.4610,88.92,379.83
975,lb3h close tp175pts trail_prog slSome(25) kems slip2 [entry 05-09 only  lb=3h],2,42,38.0952,2.76,1.125455,1.1583,1.4610,88.92,379.83
976,lb0h pair_mid rr2.5 trail_prog slSome(30) ksme slip3 [entry 05-09 only  lb=0h],3,36,30.5556,3.12,1.148571,1.1562,1.5790,96.10,553.30
977,lb0h close tp40pts trail_prog slSome(25) kems slip3 [entry 05-09 only  lb=0h],3,41,39.0244,4.96,1.2480,1.1562,1.4771,89.90,347.24
978,lb0h pair_mid tp75pts trail_be1r slSome(30) kems slip1 [entry 05-09 only  lb=0h],1,39,25.6410,1.59,1.075714,1.1521,1.5096,91.88,663.69
979,lb2h close tp30pts trail_prog slSome(30) kems slip1 [entry 05-09 only  lb=2h],1,42,45.2381,1.94,1.088182,1.1501,1.4446,87.92,399.34
980,lb3h close tp30pts trail_prog slSome(30) kems slip1 [entry 05-09 only  lb=3h],1,42,45.2381,1.94,1.088182,1.1501,1.4446,87.92,399.34
981,lb1h close tp175pts trail_prog slSome(25) kems slip2 [entry 05-09 only  lb=1h],2,43,37.2093,2.76,1.125455,1.1501,1.4242,86.68,379.83
982,lb0h pair_mid rr2.0 trail_be1r slSome(25) kems slip3 [entry 05-09 only  lb=0h],3,39,28.2051,0.63,1.03,1.1480,1.5014,91.38,716.90
983,lb0h pair_mid tp100pts trail_be1r slSome(30) kems slip3 [entry 05-09 only  lb=0h],3,39,20.5128,0.55,1.026190,1.1480,1.5014,91.38,807.40
984,lb2h close tp40pts trail_prog slSome(30) kems slip1 [entry 05-09 only  lb=2h],1,42,38.0952,3.25,1.147727,1.1480,1.4403,87.66,381.08
985,lb3h close tp40pts trail_prog slSome(30) kems slip1 [entry 05-09 only  lb=3h],1,42,38.0952,3.25,1.147727,1.1480,1.4403,87.66,381.08
986,lb0h close tp30pts trail_none slSome(25) ksme slip3 [entry 05-09 only  lb=0h],3,21,42.8571,2.48,1.206667,1.1460,1.8642,113.46,229.18
987,lb1h close tp30pts trail_prog slSome(30) kems slip1 [entry 05-09 only  lb=1h],1,43,44.1860,1.94,1.088182,1.1460,1.4160,86.18,399.34
988,lb0h pair_mid rr2.0 trail_be1r slSome(30) kems slip2 [entry 05-09 only  lb=0h],2,39,28.2051,0.75,1.035714,1.1439,1.4932,90.88,738.90
989,lb0h pair_mid rr2.0 trail_prog slSome(30) kems slip2 [entry 05-09 only  lb=0h],2,39,28.2051,0.75,1.035714,1.1439,1.4932,90.88,738.90
990,lb1h close tp40pts trail_prog slSome(30) kems slip1 [entry 05-09 only  lb=1h],1,43,37.2093,3.25,1.147727,1.1439,1.4117,85.92,381.08
991,lb1h close tp40pts trail_none slSome(30) ksme slip3 [entry 05-09 only  lb=1h],3,25,36.00,3.43,1.214375,1.1419,1.7745,108.00,364.34
992,lb2h close rr2.0 trail_none slSome(30) kems slip1 [entry 05-09 only  lb=2h],1,42,35.7143,2.81,1.104074,1.1419,1.4281,86.92,349.66
993,lb3h close rr2.0 trail_none slSome(30) kems slip1 [entry 05-09 only  lb=3h],1,42,35.7143,2.81,1.104074,1.1419,1.4281,86.92,349.66
994,lb1h pair_mid rr2.5 trail_prog slNone kems slip2 [entry 05-09 only  lb=1h],2,41,29.2683,2.19,1.095217,1.1408,1.4462,88.02,766.52
995,lb2h pair_mid rr2.5 trail_prog slNone kems slip2 [entry 05-09 only  lb=2h],2,41,29.2683,2.19,1.095217,1.1408,1.4462,88.02,766.52
996,lb1h pair_mid tp100pts trail_be1r slSome(25) kems slip3 [entry 05-09 only  lb=1h],3,41,19.5122,-0.34,0.984545,1.1398,1.4442,87.90,777.40
997,lb2h pair_mid tp100pts trail_be1r slSome(25) kems slip3 [entry 05-09 only  lb=2h],3,41,19.5122,-0.34,0.984545,1.1398,1.4442,87.90,777.40
998,lb0h close tp30pts trail_none slSome(30) ksme slip3 [entry 05-09 only  lb=0h],3,23,43.4783,2.46,1.189231,1.1378,1.8070,109.98,279.62
999,lb0h close tp30pts trail_be1r slSome(25) kems slip3 [entry 05-09 only  lb=0h],3,41,41.4634,3.08,1.1540,1.1378,1.4403,87.66,396.74
1000,lb0h close tp75pts trail_prog slSome(25) kems slip2 [entry 05-09 only  lb=0h],2,41,39.0244,3.70,1.1850,1.1316,1.4278,86.90,295.89
1001,lb1h pair_mid rr2.5 trail_prog slSome(25) kems slip2 [entry 05-09 only  lb=1h],2,41,36.5854,2.74,1.124545,1.1316,1.4278,86.90,694.02
1002,lb2h pair_mid rr2.5 trail_prog slSome(25) kems slip2 [entry 05-09 only  lb=2h],2,41,36.5854,2.74,1.124545,1.1316,1.4278,86.90,694.02
1003,lb3h pair_mid tp75pts trail_prog slSome(30) kems slip2 [entry 05-09 only  lb=3h],2,40,35.00,2.63,1.125238,1.1306,1.4462,88.02,634.91
1004,lb1h close rr1.5 trail_none slSome(25) ksme slip1 [entry 05-09 only  lb=1h],1,23,43.4783,1.84,1.141538,1.1173,1.7659,107.48,228.66
1005,lb0h pair_mid tp50pts trail_be1r slNone kems slip3 [entry 05-09 only  lb=0h],3,40,40.00,5.39,1.256667,1.1132,1.4114,85.90,749.90
1006,lb0h pair_mid tp50pts trail_prog slNone kems slip3 [entry 05-09 only  lb=0h],3,40,40.00,5.39,1.256667,1.1132,1.4114,85.90,749.90
1007,lb0h close tp25pts trail_none slSome(25) kems slip2 [entry 05-09 only  lb=0h],2,41,48.7805,1.77,1.084286,1.1132,1.3910,84.66,348.74
1008,lb1h close tp40pts trail_none slSome(30) kems slip3 [entry 05-09 only  lb=1h],3,43,39.5349,3.18,1.122308,1.1090,1.3420,81.68,463.46
1009,lb2h close tp125pts trail_prog slSome(25) kems slip1 [entry 05-09 only  lb=2h],1,42,38.0952,3.17,1.144091,1.1069,1.3581,82.66,355.08
1010,lb3h close tp125pts trail_prog slSome(25) kems slip1 [entry 05-09 only  lb=3h],1,42,38.0952,3.17,1.144091,1.1069,1.3581,82.66,355.08
1011,lb0h close tp50pts trail_be1r slSome(25) ksme slip2 [entry 05-09 only  lb=0h],2,21,23.8095,4.63,1.420909,1.1049,1.7820,108.46,281.64
1012,lb0h close tp125pts trail_be1r slSome(25) ksme slip2 [entry 05-09 only  lb=0h],2,21,9.5238,8.05,1.731818,1.1049,1.7820,108.46,319.36
1013,lb2h close tp125pts trail_none slSome(25) ksme slip1 [entry 05-09 only  lb=2h],1,22,13.6364,5.62,1.295789,1.1049,1.7617,107.22,457.86
1014,lb3h close tp125pts trail_none slSome(25) ksme slip1 [entry 05-09 only  lb=3h],1,22,13.6364,5.62,1.295789,1.1049,1.7617,107.22,457.86
1015,lb1h close rr2.0 trail_none slSome(30) ksme slip2 [entry 05-09 only  lb=1h],2,25,36.00,1.74,1.10875,1.1049,1.7005,103.50,321.34
1016,lb0h close tp25pts trail_be1r slSome(25) kems slip1 [entry 05-09 only  lb=0h],1,41,46.3415,2.05,1.1025,1.1049,1.3746,83.66,308.74
1017,lb1h close tp125pts trail_prog slSome(25) kems slip1 [entry 05-09 only  lb=1h],1,43,37.2093,3.17,1.144091,1.1028,1.3295,80.92,355.08
1018,lb1h close rr1.5 trail_none slSome(30) kems slip2 [entry 05-09 only  lb=1h],2,43,41.8605,1.56,1.0624,1.0987,1.3213,80.42,378.90
1019,lb3h pair_mid tp75pts trail_prog slSome(30) kems slip3 [entry 05-09 only  lb=3h],3,40,35.00,3.32,1.158095,1.0977,1.3805,84.02,641.41
1020,lb1h pair_mid rr2.5 trail_prog slSome(30) ksme slip2 [entry 05-09 only  lb=1h],2,38,31.5789,3.18,1.144545,1.0967,1.4193,86.38,579.79
1021,lb2h pair_mid rr2.5 trail_prog slSome(30) ksme slip2 [entry 05-09 only  lb=2h],2,38,31.5789,3.18,1.144545,1.0967,1.4193,86.38,579.79
1022,lb3h pair_mid rr2.5 trail_prog slSome(30) ksme slip2 [entry 05-09 only  lb=3h],2,38,31.5789,3.18,1.144545,1.0967,1.4193,86.38,579.79
1023,lb1h pair_mid rr2.0 trail_be1r slSome(25) kems slip3 [entry 05-09 only  lb=1h],3,41,29.2683,1.54,1.07,1.0823,1.3292,80.90,716.90
1024,lb1h pair_mid rr2.0 trail_be1r slSome(30) kems slip2 [entry 05-09 only  lb=1h],2,41,29.2683,1.69,1.076818,1.0823,1.3292,80.90,738.90
1025,lb1h pair_mid rr2.0 trail_prog slSome(30) kems slip2 [entry 05-09 only  lb=1h],2,41,29.2683,1.69,1.076818,1.0823,1.3292,80.90,738.90
1026,lb2h pair_mid rr2.0 trail_be1r slSome(25) kems slip3 [entry 05-09 only  lb=2h],3,41,29.2683,1.54,1.07,1.0823,1.3292,80.90,716.90
1027,lb2h pair_mid rr2.0 trail_be1r slSome(30) kems slip2 [entry 05-09 only  lb=2h],2,41,29.2683,1.69,1.076818,1.0823,1.3292,80.90,738.90
1028,lb2h pair_mid rr2.0 trail_prog slSome(30) kems slip2 [entry 05-09 only  lb=2h],2,41,29.2683,1.69,1.076818,1.0823,1.3292,80.90,738.90
1029,lb2h close tp30pts trail_none slSome(30) kems slip2 [entry 05-09 only  lb=2h],2,42,45.2381,0.68,1.029565,1.0803,1.3049,79.42,396.22
1030,lb3h close tp30pts trail_none slSome(30) kems slip2 [entry 05-09 only  lb=3h],2,42,45.2381,0.68,1.029565,1.0803,1.3049,79.42,396.22
1031,lb0h close tp40pts trail_prog slSome(25) ksme slip3 [entry 05-09 only  lb=0h],3,21,38.0952,4.13,1.375455,1.0782,1.7285,105.20,244.66
1032,lb0h close tp150pts trail_prog slSome(25) kems slip3 [entry 05-09 only  lb=0h],3,41,39.0244,3.46,1.1730,1.0762,1.3171,80.16,333.34
1033,lb1h pair_mid tp100pts trail_be1r slSome(30) kems slip2 [entry 05-09 only  lb=1h],2,41,19.5122,-0.20,0.990909,1.0741,1.3128,79.90,798.40
1034,lb2h pair_mid tp100pts trail_be1r slSome(30) kems slip2 [entry 05-09 only  lb=2h],2,41,19.5122,-0.20,0.990909,1.0741,1.3128,79.90,798.40
1035,lb0h close tp40pts trail_be1r slSome(25) ksme slip1 [entry 05-09 only  lb=0h],1,21,28.5714,3.92,1.356364,1.0721,1.7163,104.46,238.16
1036,lb1h prev_open tp175pts trail_prog slSome(25) ksme slip2 [entry 05-09 only  lb=1h],2,35,34.2857,17.12,1.778182,1.0576,1.4022,85.34,515.55
1037,lb0h close tp40pts trail_prog slSome(25) kems slip2 [entry 05-09 only  lb=0h],2,41,39.0244,4.36,1.2180,1.0576,1.2799,77.90,331.85
1038,lb2h close rr1.5 trail_be1r slSome(25) kems slip1 [entry 05-09 only  lb=2h],1,42,38.0952,1.78,1.080909,1.0576,1.2596,76.66,379.72
1039,lb2h close rr1.5 trail_prog slSome(25) kems slip1 [entry 05-09 only  lb=2h],1,42,38.0952,1.78,1.080909,1.0576,1.2596,76.66,379.72
1040,lb3h close rr1.5 trail_be1r slSome(25) kems slip1 [entry 05-09 only  lb=3h],1,42,38.0952,1.78,1.080909,1.0576,1.2596,76.66,379.72
1041,lb3h close rr1.5 trail_prog slSome(25) kems slip1 [entry 05-09 only  lb=3h],1,42,38.0952,1.78,1.080909,1.0576,1.2596,76.66,379.72
1042,lb0h close tp40pts trail_prog slSome(25) ksme slip1 [entry 05-09 only  lb=0h],1,21,38.0952,4.22,1.383636,1.0535,1.6792,102.20,220.16
1043,lb1h close rr1.5 trail_be1r slSome(25) kems slip1 [entry 05-09 only  lb=1h],1,43,37.2093,1.78,1.080909,1.0535,1.2310,74.92,379.72
1044,lb1h close rr1.5 trail_prog slSome(25) kems slip1 [entry 05-09 only  lb=1h],1,43,37.2093,1.78,1.080909,1.0535,1.2310,74.92,379.72
1045,lb0h close tp100pts trail_none slSome(30) kems slip1 [entry 05-09 only  lb=0h],1,40,20.00,4.56,1.1425,1.0515,1.2881,78.40,521.90
1046,lb0h close rr2.0 trail_prog slSome(25) ksme slip1 [entry 05-09 only  lb=0h],1,21,38.0952,3.36,1.305455,1.0453,1.6628,101.20,202.16
1047,lb1h prev_open tp200pts trail_prog slSome(25) ksme slip3 [entry 05-09 only  lb=1h],3,35,34.2857,16.01,1.727727,1.0453,1.3775,83.84,555.80
1048,lb1h close tp200pts trail_none slSome(25) ksme slip1 [entry 05-09 only  lb=1h],1,23,8.6957,-3.76,0.820952,1.0392,1.6098,97.98,477.60
1049,lb1h pair_mid tp50pts trail_be1r slNone kems slip2 [entry 05-09 only  lb=1h],2,42,38.0952,4.89,1.222273,1.0392,1.2227,74.42,740.90
1050,lb2h pair_mid tp50pts trail_be1r slNone kems slip2 [entry 05-09 only  lb=2h],2,42,38.0952,4.89,1.222273,1.0392,1.2227,74.42,740.90
1051,lb3h pair_mid tp50pts trail_be1r slNone kems slip2 [entry 05-09 only  lb=3h],2,42,38.0952,4.89,1.222273,1.0392,1.2227,74.42,740.90
1052,lb0h close tp30pts trail_prog slSome(30) kems slip3 [entry 05-09 only  lb=0h],3,41,46.3415,2.44,1.1220,1.0351,1.2349,75.16,389.24
1053,lb1h close rr1.5 trail_none slSome(25) ksme slip2 [entry 05-09 only  lb=1h],2,23,43.4783,1.69,1.13,1.0310,1.5934,96.98,236.41
1054,lb0h pair_mid tp125pts trail_none slSome(25) kems slip1 [entry 05-09 only  lb=0h],1,39,20.5128,-3.31,0.893226,1.0248,1.2549,76.38,845.40
1055,lb2h close tp200pts trail_none slSome(25) ksme slip3 [entry 05-09 only  lb=2h],3,22,9.0909,-3.17,0.8415,1.0228,1.5974,97.22,507.60
1056,lb3h close tp200pts trail_none slSome(25) ksme slip3 [entry 05-09 only  lb=3h],3,22,9.0909,-3.17,0.8415,1.0228,1.5974,97.22,507.60
1057,lb2h close tp40pts trail_none slSome(30) kems slip1 [entry 05-09 only  lb=2h],1,42,38.0952,2.32,1.089231,1.0228,1.1899,72.42,412.46
1058,lb3h close tp40pts trail_none slSome(30) kems slip1 [entry 05-09 only  lb=3h],1,42,38.0952,2.32,1.089231,1.0228,1.1899,72.42,412.46
1059,lb0h close tp100pts trail_none slSome(30) ksme slip1 [entry 05-09 only  lb=0h],1,23,17.3913,5.73,1.301579,1.0146,1.5606,94.98,399.38
1060,lb2h close tp50pts trail_none slSome(30) ksme slip1 [entry 05-09 only  lb=2h],1,24,29.1667,3.21,1.188824,1.0146,1.5402,93.74,365.32
1061,lb3h close tp50pts trail_none slSome(30) ksme slip1 [entry 05-09 only  lb=3h],1,24,29.1667,3.21,1.188824,1.0146,1.5402,93.74,365.32
1062,lb1h close rr2.0 trail_none slSome(30) ksme slip3 [entry 05-09 only  lb=1h],3,25,36.00,1.62,1.10125,1.0105,1.5116,92.00,334.34
1063,lb0h pair_mid tp75pts trail_be1r slSome(25) ksme slip2 [entry 05-09 only  lb=0h],2,35,22.8571,2.81,1.1405,1.0105,1.3079,79.60,476.85
1064,lb0h pair_mid tp200pts trail_be1r slSome(25) ksme slip2 [entry 05-09 only  lb=0h],2,35,8.5714,-3.56,0.8220,1.0105,1.3079,79.60,811.04
1065,lb0h close tp175pts trail_none slSome(30) kems slip2 [entry 05-09 only  lb=0h],2,40,12.500,-5.33,0.847714,1.0105,1.2060,73.40,612.88
1066,lb2h close tp175pts trail_prog slSome(25) kems slip3 [entry 05-09 only  lb=2h],3,42,38.0952,2.41,1.109545,1.0064,1.1570,70.42,395.82
1067,lb3h close tp175pts trail_prog slSome(25) kems slip3 [entry 05-09 only  lb=3h],3,42,38.0952,2.41,1.109545,1.0064,1.1570,70.42,395.82
1068,lb1h close rr2.0 trail_none slSome(30) kems slip3 [entry 05-09 only  lb=1h],3,43,34.8837,1.49,1.053214,1.0064,1.1367,69.18,411.46
1069,lb2h close tp30pts trail_be1r slSome(30) kems slip1 [entry 05-09 only  lb=2h],1,42,42.8571,0.96,1.043636,1.0023,1.1488,69.92,417.34
1070,lb3h close tp30pts trail_be1r slSome(30) kems slip1 [entry 05-09 only  lb=3h],1,42,42.8571,0.96,1.043636,1.0023,1.1488,69.92,417.34
1071,lb1h pair_mid tp75pts trail_prog slSome(25) kems slip1 [entry 05-09 only  lb=1h],1,41,36.5854,1.67,1.075909,1.0001,1.1649,70.90,671.65
