label,timeframe,trades,win_rate,max_dd_pct,gross_balance,net_balance,gross_pf,net_pf,total_costs
mode=reversal_daily|entry=prev_open|rr=1.5|trail=be_1r|slip=3,5m,31,32.25,488.65,968.45,-3886.51,0.82,0.00,5003.63
mode=reversal_daily|entry=prev_open|rr=2|trail=none|slip=0,5m,30,26.66,475.13,939.23,-3751.38,0.71,0.00,4873.36
mode=reversal_daily|entry=prev_open|rr=2|trail=none|slip=1,5m,30,26.66,475.19,939.22,-3751.94,0.71,0.00,4873.96
mode=reversal_daily|entry=prev_open|rr=2|trail=none|slip=2,5m,30,26.66,475.25,939.22,-3752.51,0.71,0.00,4874.56
mode=reversal_daily|entry=prev_open|rr=2|trail=none|slip=3,5m,30,26.66,475.30,939.21,-3753.07,0.71,0.00,4875.16
mode=reversal_daily|entry=prev_open|rr=2|trail=be_1r|slip=0,5m,31,22.58,486.67,958.59,-3866.70,0.76,0.00,5003.24
mode=reversal_daily|entry=prev_open|rr=2|trail=be_1r|slip=1,5m,31,22.58,486.72,958.58,-3867.28,0.76,0.00,5003.86
mode=reversal_daily|entry=prev_open|rr=2|trail=be_1r|slip=2,5m,31,22.58,486.78,958.57,-3867.87,0.76,0.00,5004.48
mode=reversal_daily|entry=prev_open|rr=2|trail=be_1r|slip=3,5m,31,22.58,486.84,958.57,-3868.45,0.76,0.00,5005.10
mode=continuation_ema200|entry=close|rr=1|trail=none|slip=0,5m,650,49.23,10930.71,875.89,-105588.06,0.95,0.53,106079.59
mode=continuation_ema200|entry=close|rr=1|trail=none|slip=1,5m,650,49.23,10929.76,875.49,-105573.30,0.95,0.53,106092.59
mode=continuation_ema200|entry=close|rr=1|trail=none|slip=2,5m,650,49.23,10929.71,875.26,-105567.98,0.95,0.53,106105.59
mode=continuation_ema200|entry=close|rr=1|trail=none|slip=3,5m,650,49.23,10929.67,875.00,-105562.40,0.95,0.53,106118.58
mode=continuation_ema200|entry=close|rr=1|trail=be_1r|slip=0,5m,650,49.23,10930.71,875.89,-105588.06,0.95,0.53,106079.59
mode=continuation_ema200|entry=close|rr=1|trail=be_1r|slip=1,5m,650,49.23,10929.76,875.49,-105573.30,0.95,0.53,106092.59
mode=continuation_ema200|entry=close|rr=1|trail=be_1r|slip=2,5m,650,49.23,10929.71,875.26,-105567.98,0.95,0.53,106105.59
mode=continuation_ema200|entry=close|rr=1|trail=be_1r|slip=3,5m,650,49.23,10929.67,875.00,-105562.40,0.95,0.53,106118.58
mode=continuation_ema200|entry=close|rr=1.5|trail=none|slip=0,5m,615,40.32,10676.66,1003.91,-102422.74,1.00,0.57,100714.98
